Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-05 09:30:00-05:00,181.9900055,182.1049957,181.75,181.8096008,3040916,0,0
2024-01-05 09:31:00-05:00,181.7899933,182.1600037,181.7899933,182.1398926,292188,0,0
2024-01-05 09:32:00-05:00,182.1349945,182.4900055,182.1100006,182.3399963,297092,0,0
2024-01-05 09:33:00-05:00,182.3500061,182.4799957,182.2899933,182.3300018,265357,0,0
2024-01-05 09:34:00-05:00,182.3325043,182.4900055,182.1999969,182.4799957,219990,0,0
2024-01-05 09:35:00-05:00,182.4875031,182.6600037,182.4700012,182.6199951,615228,0,0
2024-01-05 09:36:00-05:00,182.6100006,182.6999969,182.4850006,182.6799927,206391,0,0
2024-01-05 09:37:00-05:00,182.6750031,182.75,182.3710938,182.425293,250648,0,0
2024-01-05 09:38:00-05:00,182.4299927,182.6000061,182.3999939,182.5599976,177084,0,0
2024-01-05 09:39:00-05:00,182.5399933,182.7599945,182.3999939,182.4199982,333547,0,0
2024-01-05 09:40:00-05:00,182.4275055,182.4499969,182.1699982,182.2899933,254259,0,0
2024-01-05 09:41:00-05:00,182.2899933,182.4400024,182.2400055,182.3300018,144083,0,0
2024-01-05 09:42:00-05:00,182.3177948,182.3249969,182.0800018,182.1398926,160548,0,0
2024-01-05 09:43:00-05:00,182.1399994,182.1399994,181.9499969,182.0399933,181157,0,0
2024-01-05 09:44:00-05:00,182.0299988,182.1399994,181.9600067,182,145744,0,0
2024-01-05 09:45:00-05:00,181.9850006,182.2825012,181.9799957,182.1950073,181941,0,0
2024-01-05 09:46:00-05:00,182.1799927,182.1799927,182.0599976,182.1300049,118102,0,0
2024-01-05 09:47:00-05:00,182.1242065,182.1699982,182.0299988,182.1399994,100353,0,0
2024-01-05 09:48:00-05:00,182.1399994,182.1399994,181.8224945,181.9102936,179841,0,0
2024-01-05 09:49:00-05:00,181.9149933,182.0099945,181.7799988,182.0099945,182985,0,0
2024-01-05 09:50:00-05:00,182.0099945,182.1199951,181.9850006,182.0299988,172319,0,0
2024-01-05 09:51:00-05:00,182.0299988,182.2088928,182.0200043,182.1150055,165147,0,0
2024-01-05 09:52:00-05:00,182.125,182.2599945,182.0899963,182.1150055,108022,0,0
2024-01-05 09:53:00-05:00,182.1100006,182.1499939,181.9900055,182.0099945,152577,0,0
2024-01-05 09:54:00-05:00,182.0200043,182.0699005,181.8300018,181.8600006,186822,0,0
2024-01-05 09:55:00-05:00,181.8583069,181.8809967,181.7599945,181.8300018,184616,0,0
2024-01-05 09:56:00-05:00,181.8348999,181.9199982,181.7200012,181.8200073,132371,0,0
2024-01-05 09:57:00-05:00,181.8150024,181.8699951,181.7539978,181.7619934,127731,0,0
2024-01-05 09:58:00-05:00,181.7671051,181.7700043,181.5599976,181.6000061,146025,0,0
2024-01-05 09:59:00-05:00,181.5950012,181.6900024,181.5200043,181.6900024,151796,0,0
2024-01-05 10:00:00-05:00,181.7100067,182.0399017,181.6999969,181.8500061,278240,0,0
